Original,Furigana,English,Romaji
水,みず,water,mi zu
店,みせ,"store, shop",mi se
見せる,みせる,"to show, to display",mi se ru
道,みち,"road, street; way, directions",mi chi
三日,みっか,"three days, third day of the month",mi っ ka
三つ,みっつ,three things,mi っ tsu
緑,みどり,green,mi do ri
皆さん,みなさん,"all of you, everyone",mi na sa n
南,みなみ,South,mi na mi
耳,みみ,ear,mi mi
見る,みる,"to see, to look",mi ru
みんな,みんな,"all, everyone, everybody",mi n na
六日,むいか,six days; sixth day of month,mu i ka
向こう,むこう,"beyond, over there",mu ko u
難しい,むずかしい,difficult,mu zu ka shi i
六つ,むっつ,six things,mu っ tsu
村,むら,village,mu ra
目,め,eye(s),me
メートル,メートル,meter,me ー to ru
眼鏡,めがね,eye glasses,me ga ne
もう,もう,already; again; more,mo u
木曜日,もくようび,Thursday,mo ku yo u bi
もしもし,もしもし,Hello? (used on the phone),mo shi mo shi
持つ,もつ,"to hold, to carry; to possess",mo tsu
もっと,もっと,more,mo っ to
物,もの,thing (concrete object),mo no
門,もん,gate,mo n
問題,もんだい,a problem,mo n da i
～屋,～や,~ shop,～ ya
八百屋,やおや,greengrocer,ya o ya
野菜,やさい,vegetable,ya sa i
易しい,やさしい,"easy, plain, simple",ya sa shi i
安い,やすい,inexpensive; cheap (things),ya su i
休み,やすみ,holiday; day off; absence,ya su mi
休む,やすむ,"to rest, to have a break, to get time off",ya su mu
八つ,やっつ,eight things,ya っ tsu
山,やま,mountain,ya ma
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",ya ru
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",yu u ga ta
夕飯,ゆうはん,"dinner, supper, evening meal",yu u ha n
郵便局,ゆうびんきょく,post office,yu u bi n ki ょ ku
昨夜,ゆうべ,last night,yu u be
有名,ゆうめい,famous,yu u me i
雪,ゆき,snow,yu ki
ゆっくりと,ゆっくりと,"slowly, at ease",yu っ ku ri to
八日,ようか,eight days; eighth day of the month,yo u ka
洋服,ようふく,Western-style clothes,yo u fu ku
よく,よく,"frequently, often (much); well, skillfully",yo ku
横,よこ,beside; side; width,yo ko
四日,よっか,four days; fourth day of the month,yo っ ka
四つ,よっつ,four things,yo っ tsu
呼ぶ,よぶ,to call (one's name); to invite,yo bu
読む,よむ,to read,yo mu
夜,よる,"evening, night",yo ru
弱い,よわい,weak,yo wa i
来月,らいげつ,next month,ra i ge tsu
来週,らいしゅう,next week,ra i shi ゅ u
来年,らいねん,next year,ra i ne n
ラジオ,ラジオ,radio,ra ji o
ラジオカセ,ラジオカセ,radio cassette player,ra ji o ka se
りっぱ,りっぱ,"splendid, fine",ri っ pa
留学生,りゅうがくせい,international student,ri ゅ u ga ku se i
両親,りょうしん,"parents (lit., both parents)",ri ょ u shi n
料理,りょうり,cooking; cuisine,ri ょ u ri
旅行,りょこう,"travel, trip",ri ょ ko u
零,れい,"zero, nought",re i
冷蔵庫,れいぞうこ,refrigerator,re i zo u ko
レコード,レコード,record,re ko ー do
レストラン,レストラン,restaurant,re su to ra n
練習,れんしゅう (する),(to) practice,re n shi ゅ u   ( su ru )
廊下,ろうか,corridor,ro u ka
六,ろく,six,ro ku
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",wa i shi ャ tsu
若い,わかい,young,wa ka i
分かる,わかる,to understand,wa ka ru
忘れる,わすれる,to forget,wa su re ru
私,わたし,"I, myself",wa ta shi
私,わたくし,"I (formal), myself, private affairs",wa ta ku shi
渡す,わたす,to hand (something) over (v.t.); to get across,wa ta su
渡る,わたる,"to cross over, to go across",wa ta ru
悪い,わるい,"bad, sinful; inferior",wa ru i
